ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
215165_x_at	1.10e-05	2.32e-08	-40.739963	10.36095	-2.26915292	UMPS	uridine monophosphate synthetase
201459_at	1.10e-05	2.32e-08	-40.738264	10.36073	-0.73037967	RUVBL2	RuvB-like AAA ATPase 2
205399_at	1.12e-05	2.43e-08	40.423315	10.31964	4.1315365	DCLK1	doublecortin-like kinase 1
208121_s_at	1.12e-05	2.46e-08	40.33513	10.30805	4.87530197	PTPRO	protein tyrosine phosphatase, receptor type, O
203740_at	1.16e-05	2.69e-08	-39.709731	10.22482	-2.03891987	MPHOSPH6	M-phase phosphoprotein 6
206331_at	1.16e-05	2.69e-08	39.700417	10.22356	2.44219177	CALCRL	calcitonin receptor-like
220615_s_at	1.16e-05	2.75e-08	39.551237	10.20343	2.93947712	FAR2	fatty acyl CoA reductase 2
204033_at	1.16e-05	2.77e-08	-39.515635	10.1986	-3.28222013	TRIP13	thyroid hormone receptor interactor 13
222118_at	1.22e-05	3.05e-08	-38.860308	10.10875	-4.34654508	CENPN	centromere protein N
201674_s_at	1.22e-05	3.05e-08	-38.852639	10.10769	-1.67661582	AKAP1	A kinase (PRKA) anchor protein 1
205856_at	1.22e-05	3.11e-08	38.725541	10.09001	3.90300231	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
212109_at	1.22e-05	3.12e-08	-38.698227	10.0862	-2.25777644	HN1L	hematological and neurological expressed 1-like
201744_s_at	1.23e-05	3.22e-08	38.490147	10.05705	2.36530632	LUM	lumican
202403_s_at	1.23e-05	3.26e-08	38.419315	10.04708	4.2349974	COL1A2	collagen, type I, alpha 2
209789_at	1.29e-05	3.52e-08	37.895376	9.97251	0.67929755	CORO2B	coronin, actin binding protein, 2B
211576_s_at	1.29e-05	3.58e-08	-37.787505	9.95698	-2.58035191	SLC19A1	solute carrier family 19 (folate transporter), member 1
201890_at	1.29e-05	3.58e-08	-37.784648	9.95657	-4.13750197	RRM2	ribonucleotide reductase M2
200610_s_at	1.33e-05	3.76e-08	-37.469137	9.91079	-1.10493371	NCL	nucleolin
204531_s_at	1.38e-05	3.95e-08	-37.154021	9.86454	-2.68371335	BRCA1	breast cancer 1, early onset
201614_s_at	1.44e-05	4.25e-08	-36.68552	9.79476	-1.51998307	RUVBL1	RuvB-like AAA ATPase 1
206499_s_at	1.44e-05	4.27e-08	-36.662371	9.79128	-2.25788322	RCC1	regulator of chromosome condensation 1
204087_s_at	1.45e-05	4.37e-08	-36.514189	9.76894	-2.61750963	SLC5A6	solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6
211150_s_at	1.45e-05	4.44e-08	-36.417009	9.75422	-1.45955439	DLAT	dihydrolipoamide S-acetyltransferase
205721_at	1.47e-05	4.60e-08	-36.192401	9.72	-2.73147816	GFRA2	GDNF family receptor alpha 2
210574_s_at	1.47e-05	4.63e-08	-36.15086	9.71363	-1.28421223	NUDC	nudC nuclear distribution protein
218564_at	1.48e-05	4.76e-08	-35.972371	9.68619	-2.38668592	RFWD3	ring finger and WD repeat domain 3
201173_x_at	1.48e-05	4.78e-08	-35.946052	9.68213	-1.17600971	NUDC	nudC nuclear distribution protein
218889_at	1.50e-05	4.91e-08	-35.783695	9.65697	-1.58873517	NOC3L	nucleolar complex associated 3 homolog (S. cerevisiae)
201584_s_at	1.52e-05	5.08e-08	-35.573152	9.62413	-1.48821378	DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
209375_at	1.52e-05	5.11e-08	35.540914	9.61908	1.6621682	XPC	xeroderma pigmentosum, complementation group C
203210_s_at	1.56e-05	5.33e-08	-35.284757	9.57871	-4.39129264	RFC5	replication factor C (activator 1) 5, 36.5kDa
205724_at	1.61e-05	5.62e-08	-34.959508	9.52689	-3.81130763	PKP1	plakophilin 1
209478_at	1.61e-05	5.68e-08	-34.899872	9.51732	-2.34024542	STRA13	stimulated by retinoic acid 13
212141_at	1.61e-05	5.70e-08	-34.87241	9.5129	-3.86216885	MCM4	minichromosome maintenance complex component 4
201830_s_at	1.64e-05	5.94e-08	-34.630994	9.47389	-1.61265169	NET1	neuroepithelial cell transforming 1
202891_at	1.64e-05	5.96e-08	34.610908	9.47063	1.25681156	NIT1	nitrilase 1
202313_at	1.64e-05	6.13e-08	-34.433357	9.44168	-0.88670623	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha
222047_s_at	1.64e-05	6.16e-08	-34.408103	9.43755	-1.15666911	SRRT	serrate, RNA effector molecule
201386_s_at	1.64e-05	6.19e-08	-34.37907	9.43279	-1.11742296	DHX15	DEAH (Asp-Glu-Ala-His) box helicase 15
212846_at	1.68e-05	6.42e-08	-34.162993	9.39722	-1.28063933	RRP1B	ribosomal RNA processing 1B
201281_at	1.76e-05	6.78e-08	-33.841447	9.34374	-1.69151933	ADRM1	adhesion regulating molecule 1
203177_x_at	1.76e-05	6.90e-08	-33.742984	9.32722	-1.36591474	TFAM	transcription factor A, mitochondrial
201381_x_at	1.76e-05	7.00e-08	-33.658314	9.31297	-1.28019398	CACYBP	calcyclin binding protein
211784_s_at	1.76e-05	7.02e-08	-33.641966	9.31022	-1.16820275	SRSF1	serine/arginine-rich splicing factor 1
205548_s_at	1.84e-05	7.45e-08	-33.293991	9.25112	-1.57974004	BTG3	BTG family, member 3
210833_at	1.85e-05	7.54e-08	-33.225432	9.23938	-3.25085006	PTGER3	prostaglandin E receptor 3 (subtype EP3)
204653_at	1.87e-05	7.73e-08	33.080726	9.2145	1.53576578	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
1053_at	1.87e-05	7.80e-08	-33.034081	9.20645	-2.48208726	RFC2	replication factor C (activator 1) 2, 40kDa
201726_at	1.91e-05	8.06e-08	-32.84447	9.17357	-0.77531774	ELAVL1	ELAV like RNA binding protein 1
218844_at	1.95e-05	8.30e-08	32.682941	9.14536	2.14057549	ACSF2	acyl-CoA synthetase family member 2
213599_at	1.99e-05	8.66e-08	-32.441669	9.1029	-2.52517189	OIP5	Opa interacting protein 5
201555_at	1.99e-05	8.68e-08	-32.429695	9.10078	-2.83442267	MCM3	minichromosome maintenance complex component 3
221854_at	2.10e-05	9.25e-08	-32.070777	9.03682	-2.5044321	PKP1	plakophilin 1
202900_s_at	2.20e-05	9.78e-08	-31.762242	8.98109	-1.53345018	NUP88	nucleoporin 88kDa
221234_s_at	2.22e-05	9.96e-08	31.664822	8.96335	3.21663061	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
218883_s_at	2.23e-05	1.02e-07	-31.543917	8.94124	-2.28418306	CENPU	centromere protein U
218149_s_at	2.23e-05	1.02e-07	31.52092	8.93702	1.12375537	ZNF395	zinc finger protein 395
213647_at	2.25e-05	1.06e-07	-31.330505	8.90194	-3.06614785	DNA2	DNA replication helicase/nuclease 2
202706_s_at	2.25e-05	1.07e-07	-31.286143	8.89372	-2.38096812	UMPS	uridine monophosphate synthetase
211767_at	2.25e-05	1.07e-07	-31.283637	8.89326	-3.81387752	GINS4	GINS complex subunit 4 (Sld5 homolog)
204603_at	2.25e-05	1.07e-07	-31.270148	8.89076	-3.83480205	EXO1	exonuclease 1
209200_at	2.26e-05	1.09e-07	31.189771	8.87583	3.95889293	MEF2C	myocyte enhancer factor 2C
204114_at	2.30e-05	1.11e-07	31.053974	8.8505	3.3155204	NID2	nidogen 2 (osteonidogen)
201714_at	2.37e-05	1.16e-07	-30.84649	8.81153	-2.13094226	TUBG1	tubulin, gamma 1
209006_s_at	2.40e-05	1.20e-07	30.678404	8.77971	1.85892715	RSRP1	arginine/serine-rich protein 1
218536_at	2.40e-05	1.20e-07	-30.672818	8.77865	-2.6633782	MRS2	MRS2 magnesium transporter
206102_at	2.42e-05	1.22e-07	-30.578947	8.76078	-2.94056075	GINS1	GINS complex subunit 1 (Psf1 homolog)
218461_at	2.44e-05	1.24e-07	-30.506735	8.74699	-1.87728384	GPN3	GPN-loop GTPase 3
204284_at	2.46e-05	1.27e-07	30.35794	8.71844	4.00205871	PPP1R3C	protein phosphatase 1, regulatory subunit 3C
201756_at	2.46e-05	1.27e-07	-30.355885	8.71804	-2.15312571	RPA2	replication protein A2, 32kDa
216251_s_at	2.48e-05	1.29e-07	-30.278388	8.7031	-2.46556393	TTLL12	tubulin tyrosine ligase-like family, member 12
210815_s_at	2.49e-05	1.31e-07	30.205987	8.6891	3.83598731	CALCRL	calcitonin receptor-like
202541_at	2.56e-05	1.35e-07	-30.022266	8.65337	-1.02837717	AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
204252_at	2.56e-05	1.38e-07	-29.94282	8.63784	-2.66355292	CDK2	cyclin-dependent kinase 2
212330_at	2.56e-05	1.38e-07	-29.931479	8.63562	-1.62106629	TFDP1	transcription factor Dp-1
204727_at	2.61e-05	1.43e-07	-29.750631	8.60005	-2.67160757	WDHD1	WD repeat and HMG-box DNA binding protein 1
209330_s_at	2.61e-05	1.43e-07	-29.74686	8.59931	-0.85172739	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
200713_s_at	2.63e-05	1.45e-07	-29.664284	8.58297	-1.11224161	MAPRE1	microtubule-associated protein, RP/EB family, member 1
202613_at	2.63e-05	1.46e-07	-29.627873	8.57575	-3.01204379	CTPS1	CTP synthase 1
210834_s_at	2.66e-05	1.49e-07	-29.529659	8.55622	-3.84974144	PTGER3	prostaglandin E receptor 3 (subtype EP3)
209288_s_at	2.67e-05	1.51e-07	29.471852	8.54469	2.81704302	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
200913_at	2.72e-05	1.57e-07	-29.278321	8.50588	-1.15014772	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent, 1G
218115_at	2.72e-05	1.57e-07	-29.27292	8.50479	-3.6170132	ASF1B	anti-silencing function 1B histone chaperone
219556_at	2.72e-05	1.57e-07	-29.257624	8.50171	-2.75518495	C16orf59	chromosome 16 open reading frame 59
218866_s_at	2.75e-05	1.60e-07	-29.158771	8.48174	-3.5304284	POLR3K	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa
222036_s_at	2.80e-05	1.65e-07	-29.027293	8.45505	-3.22133304	MCM4	minichromosome maintenance complex component 4
44563_at	2.84e-05	1.70e-07	-28.871523	8.42324	-1.71431896	WRAP53	WD repeat containing, antisense to TP53
218645_at	2.84e-05	1.71e-07	28.849457	8.41872	1.43200115	ZNF277	zinc finger protein 277
202121_s_at	2.84e-05	1.71e-07	28.84543	8.41789	1.09832419	CHMP2A	charged multivesicular body protein 2A
221730_at	2.92e-05	1.78e-07	28.635324	8.37459	1.38908668	COL5A2	collagen, type V, alpha 2
200750_s_at	2.92e-05	1.78e-07	-28.626206	8.37271	-0.87218819	RAN	RAN, member RAS oncogene family
219004_s_at	2.98e-05	1.84e-07	-28.470745	8.34041	-1.29489067	MIS18A	MIS18 kinetochore protein A
202202_s_at	2.98e-05	1.87e-07	28.39037	8.32362	4.09943794	LAMA4	laminin, alpha 4
202911_at	2.98e-05	1.91e-07	-28.291172	8.30283	-0.86840164	MSH6	mutS homolog 6
219258_at	2.98e-05	1.91e-07	-28.282216	8.30094	-2.31385354	TIPIN	TIMELESS interacting protein
202483_s_at	2.98e-05	1.94e-07	-28.212283	8.28622	-1.70263438	RANBP1	RAN binding protein 1
203362_s_at	2.98e-05	1.94e-07	-28.204368	8.28456	-2.03511411	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
200079_s_at	2.98e-05	1.95e-07	-28.194664	8.28251	-0.79444774	KARS	lysyl-tRNA synthetase
201277_s_at	2.98e-05	1.95e-07	-28.184492	8.28036	-1.83350262	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
200895_s_at	2.98e-05	1.95e-07	-28.182698	8.27998	-1.63760935	FKBP4	FK506 binding protein 4, 59kDa
213493_at	2.98e-05	1.96e-07	28.169833	8.27727	3.27103236	SNED1	sushi, nidogen and EGF-like domains 1
217989_at	2.98e-05	1.96e-07	28.154514	8.27403	1.67941287	HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11
200754_x_at	3.02e-05	2.01e-07	-28.049044	8.25169	-1.43455869	SRSF2	serine/arginine-rich splicing factor 2
218512_at	3.02e-05	2.02e-07	-28.012615	8.24395	-1.2923299	WDR12	WD repeat domain 12
210983_s_at	3.06e-05	2.06e-07	-27.91277	8.22267	-2.57425133	MCM7	minichromosome maintenance complex component 7
207590_s_at	3.06e-05	2.07e-07	-27.888609	8.21751	-3.04385485	CENPI	centromere protein I
210008_s_at	3.09e-05	2.11e-07	-27.809521	8.20057	-1.90420559	MRPS12	mitochondrial ribosomal protein S12
218719_s_at	3.09e-05	2.12e-07	-27.77832	8.19387	-2.99318542	GINS3	GINS complex subunit 3 (Psf3 homolog)
218773_s_at	3.13e-05	2.16e-07	27.6902	8.1749	2.29727893	MSRB2	methionine sulfoxide reductase B2
213149_at	3.19e-05	2.22e-07	-27.56469	8.14776	-1.05275129	DLAT	dihydrolipoamide S-acetyltransferase
205031_at	3.22e-05	2.26e-07	27.480514	8.12947	2.33703337	EFNB3	ephrin-B3
219531_at	3.29e-05	2.32e-07	-27.345342	8.09996	-2.59570103	CEP72	centrosomal protein 72kDa
204026_s_at	3.29e-05	2.33e-07	-27.325207	8.09555	-2.70829703	ZWINT	ZW10 interacting kinetochore protein
214727_at	3.31e-05	2.37e-07	-27.245988	8.07816	-2.99448956	BRCA2	breast cancer 2, early onset
203545_at	3.31e-05	2.38e-07	-27.239685	8.07677	-1.82531986	ALG8	ALG8, alpha-1,3-glucosyltransferase
203209_at	3.38e-05	2.45e-07	-27.103625	8.04675	-2.64508813	RFC5	replication factor C (activator 1) 5, 36.5kDa
200892_s_at	3.39e-05	2.48e-07	-27.032072	8.03089	-1.17996001	TRA2B	transformer 2 beta homolog (Drosophila)
206550_s_at	3.39e-05	2.50e-07	-27.000601	8.02389	-1.61308962	NUP155	nucleoporin 155kDa
200875_s_at	3.39e-05	2.50e-07	-26.995636	8.02279	-1.96630135	NOP56	NOP56 ribonucleoprotein
209324_s_at	3.39e-05	2.51e-07	26.972816	8.01771	4.11440002	RGS16	regulator of G-protein signaling 16
218680_x_at	3.50e-05	2.62e-07	-26.783345	7.97535	-1.02167568	HYPK///SERF2	huntingtin interacting protein K///small EDRK-rich factor 2
212836_at	3.50e-05	2.62e-07	-26.772719	7.97297	-2.00497997	POLD3	polymerase (DNA-directed), delta 3, accessory subunit
217756_x_at	3.53e-05	2.67e-07	26.701629	7.95697	0.74173728	SERF2	small EDRK-rich factor 2
202338_at	3.54e-05	2.68e-07	-26.670108	7.94986	-2.50183565	TK1	thymidine kinase 1, soluble
220299_at	3.56e-05	2.72e-07	26.608111	7.93585	2.70252069	SPATA6	spermatogenesis associated 6
208447_s_at	3.65e-05	2.82e-07	-26.441626	7.89804	-2.33549762	PRPS1	phosphoribosyl pyrophosphate synthetase 1
218670_at	3.65e-05	2.82e-07	-26.439106	7.89746	-2.72843784	PUS1	pseudouridylate synthase 1
203847_s_at	3.73e-05	2.90e-07	-26.318732	7.86994	-1.25240192	AKAP8	A kinase (PRKA) anchor protein 8
220966_x_at	3.74e-05	2.94e-07	-26.253837	7.85504	-1.09643325	ARPC5L	actin related protein 2/3 complex, subunit 5-like
200777_s_at	3.74e-05	2.96e-07	-26.220845	7.84745	-0.60974354	BZW1	basic leucine zipper and W2 domains 1
213330_s_at	3.74e-05	2.98e-07	-26.196403	7.84181	-1.4638485	STIP1	stress-induced phosphoprotein 1
208688_x_at	3.74e-05	3.00e-07	-26.162458	7.83398	-1.02481307	EIF3B	eukaryotic translation initiation factor 3, subunit B
210091_s_at	3.74e-05	3.03e-07	26.119918	7.82415	0.60059353	DTNA	dystrobrevin, alpha
215273_s_at	3.74e-05	3.03e-07	26.115951	7.82323	0.99931853	TADA3	transcriptional adaptor 3
202076_at	3.74e-05	3.03e-07	26.110602	7.82199	0.56712167	BIRC2	baculoviral IAP repeat containing 2
211713_x_at	3.74e-05	3.04e-07	-26.104525	7.82059	-2.66411334	KIAA0101	KIAA0101
212667_at	3.77e-05	3.09e-07	26.025089	7.80216	1.31806271	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
201611_s_at	3.77e-05	3.11e-07	-26.00082	7.79652	-2.42445976	ICMT	isoprenylcysteine carboxyl methyltransferase
202431_s_at	3.77e-05	3.11e-07	-25.9922	7.79451	-1.55466237	MYC	v-myc avian myelocytomatosis viral oncogene homolog
201430_s_at	3.77e-05	3.13e-07	25.971281	7.78964	1.47935629	DPYSL3	dihydropyrimidinase-like 3
204493_at	3.81e-05	3.18e-07	-25.898513	7.77266	-3.72126275	BID	BH3 interacting domain death agonist
203341_at	3.81e-05	3.20e-07	-25.871982	7.76646	-1.00778737	CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta
212358_at	3.81e-05	3.22e-07	25.842643	7.75959	5.78223174	CLIP3	CAP-GLY domain containing linker protein 3
200853_at	3.87e-05	3.28e-07	-25.755524	7.73914	-1.02662724	H2AFZ	H2A histone family, member Z
209590_at	3.87e-05	3.34e-07	25.670633	7.71913	1.51147102	BMP7	bone morphogenetic protein 7
201763_s_at	3.87e-05	3.35e-07	-25.660106	7.71664	-1.12282845	DAXX	death-domain associated protein
202825_at	3.87e-05	3.35e-07	-25.659977	7.71661	-1.26992785	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
203131_at	3.87e-05	3.35e-07	25.658137	7.71617	7.63542045	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide
203856_at	3.90e-05	3.41e-07	-25.589426	7.69991	-2.36370589	VRK1	vaccinia related kinase 1
218479_s_at	3.90e-05	3.43e-07	-25.559101	7.69272	-2.70429943	XPO4	exportin 4
217835_x_at	3.90e-05	3.47e-07	-25.512915	7.68174	-0.88131527	C20orf24	chromosome 20 open reading frame 24
221856_s_at	3.90e-05	3.49e-07	25.484676	7.67502	1.88587827	FAM63A	family with sequence similarity 63, member A
203957_at	3.90e-05	3.50e-07	-25.474728	7.67265	-0.77806511	E2F6	E2F transcription factor 6
221123_x_at	3.90e-05	3.50e-07	25.473955	7.67246	1.15274614	ZNF395	zinc finger protein 395
221564_at	3.90e-05	3.50e-07	25.468514	7.67117	1.50820693	PRMT2	protein arginine methyltransferase 2
218465_at	3.91e-05	3.53e-07	-25.428856	7.6617	-1.74006059	TMEM33	transmembrane protein 33
203422_at	3.93e-05	3.57e-07	-25.386966	7.65169	-2.10972046	POLD1	polymerase (DNA directed), delta 1, catalytic subunit
45633_at	3.94e-05	3.59e-07	-25.354776	7.64398	-3.43878819	GINS3	GINS complex subunit 3 (Psf3 homolog)
208821_at	3.97e-05	3.67e-07	-25.26208	7.62172	-1.25050454	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1
218294_s_at	3.97e-05	3.68e-07	-25.24634	7.61793	-2.00057385	NUP50	nucleoporin 50kDa
202404_s_at	3.97e-05	3.69e-07	25.236671	7.6156	4.8612656	COL1A2	collagen, type I, alpha 2
203401_at	3.97e-05	3.73e-07	-25.185582	7.60327	-1.64788458	PRPS2	phosphoribosyl pyrophosphate synthetase 2
214804_at	3.97e-05	3.75e-07	-25.162051	7.59759	-2.78145531	CENPI	centromere protein I
217987_at	3.97e-05	3.76e-07	-25.157502	7.59648	-0.83581978	ASNSD1	asparagine synthetase domain containing 1
218108_at	3.97e-05	3.78e-07	-25.134985	7.59104	-1.37711131	UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)
205909_at	3.97e-05	3.78e-07	-25.133901	7.59077	-3.77344715	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit
221794_at	3.97e-05	3.79e-07	25.118686	7.58709	1.15514296	DOCK6	dedicator of cytokinesis 6
203960_s_at	3.97e-05	3.80e-07	-25.10872	7.58467	-0.90907608	HSPB11	heat shock protein family B (small), member 11
212097_at	3.98e-05	3.82e-07	-25.086109	7.57919	-0.89269753	CAV1	caveolin 1, caveolae protein, 22kDa
34206_at	3.98e-05	3.84e-07	25.057281	7.57219	1.7001612	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
201225_s_at	4.06e-05	3.93e-07	-24.956973	7.54775	-0.78033293	SRRM1	serine/arginine repetitive matrix 1
221703_at	4.07e-05	3.96e-07	-24.925673	7.54011	-2.9273104	BRIP1	BRCA1 interacting protein C-terminal helicase 1
218014_at	4.09e-05	4.00e-07	-24.882741	7.5296	-1.29897447	NUP85	nucleoporin 85kDa
200995_at	4.11e-05	4.04e-07	-24.837361	7.51847	-2.22236084	IPO7	importin 7
222138_s_at	4.12e-05	4.08e-07	24.800683	7.50945	1.79066247	WDR13	WD repeat domain 13
201144_s_at	4.12e-05	4.08e-07	-24.796751	7.50849	-1.4164404	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
211725_s_at	4.12e-05	4.10e-07	-24.775139	7.50317	-2.78911016	BID	BH3 interacting domain death agonist
218593_at	4.16e-05	4.16e-07	-24.712558	7.48773	-0.86808008	RBM28	RNA binding motif protein 28
222026_at	4.20e-05	4.23e-07	-24.646594	7.47142	-1.83207761	RBM3	RNA binding motif (RNP1, RRM) protein 3
221227_x_at	4.20e-05	4.25e-07	-24.629294	7.46713	-1.28914048	COQ3	coenzyme Q3 methyltransferase
202718_at	4.21e-05	4.27e-07	24.603236	7.46066	1.93073278	IGFBP2	insulin-like growth factor binding protein 2, 36kDa
201421_s_at	4.21e-05	4.29e-07	-24.588974	7.45712	-2.01065488	WDR77	WD repeat domain 77
219583_s_at	4.24e-05	4.34e-07	24.540011	7.44494	2.28227409	SPATA7	spermatogenesis associated 7
216237_s_at	4.25e-05	4.38e-07	-24.496737	7.43416	-3.08225675	MCM5	minichromosome maintenance complex component 5
211595_s_at	4.25e-05	4.39e-07	-24.487612	7.43188	-0.75736684	MRPS11	mitochondrial ribosomal protein S11
204294_at	4.25e-05	4.42e-07	24.453237	7.42329	1.6263806	AMT	aminomethyltransferase
210695_s_at	4.25e-05	4.45e-07	-24.432792	7.41818	-2.12884996	WWOX	WW domain containing oxidoreductase
219523_s_at	4.25e-05	4.46e-07	24.42383	7.41593	2.51881401	TENM3	teneurin transmembrane protein 3
